中共山海关区委网络安全和信息化委员会办公室,网信办,政府,2
山西教育教辅传媒集团广告有限公司,广告,企业,2
承德市公安消防支队,应急管理,政府,2
秦皇岛市公安局山海关分局,公安局,政府,2
湖北省十堰市武当山旅游经济特区公安局,公安局,政府,2
淄博高新技术产业开发区宣传新闻中心,官媒,政府,2
石家庄市公安消防支队,应急管理,政府,2
中共黑龙江省纪律检察委员会,纪检委,政府,2
武汉铁路职业技术学院,职院,事业,2
河北省政府办公厅应急办,应急管理,政府,2
中国人民解放军总医院第三医学中心,医院,事业,2
郑州铁路职业技术学院,职院,事业,2
中国人民武装警察部队浙江省总队医院政治工作处,医院,事业,2
一汽奔腾,汽车,企业,1
翼城县网络中心,宣传部,政府,1
中国共产党晋城市城区委员会,宣传部,政府,1
嘉兴市妇幼保健院,医院,事业,1
邢台市委,政府办,政府,1
凉山州信息中心,政府办,政府,1
中共广东省委办公厅,政府办,政府,1
上海万科企业有限公司,地产,企业,1
中共鄂尔多斯市委员会统一战线工作部,统战部,政府,1
厦门信息学校,职院,事业,1
南京万科企业有限公司,地产,企业,1
康菲石油中国有限公司,石油,企业,1
中国共产党红河哈尼族彝族自治州委员会办公室,政府办,政府,1
汨罗市精神文明建设办公室,文明办,政府,1
临泽县信息化工作办公室,宣传部,政府,1
北京慕亚信息咨询有限公司,广告,企业,1
三门峡市城乡一体化示范区办公室,管委会,政府,1
云南省质量信息中心,市场监督,政府,1
柳州市互联网新闻传播研究中心,宣传部,政府,1
浙江吉利控股集团有限公司,汽车,企业,1
芒果超媒股份有限公司,文化传媒,企业,1
北京市东城区人民代表大会常务委员会办公室,人大,政府,1
重庆市交通行政执法总队,交通局,政府,1
秦皇岛经济技术开发区信息化建设管理办公室,网信办,政府,1
贵州日报大数据有限公司,官媒,政府,1
中国质检报刊社,官媒,政府,1
池州市贵池区信息办公室,宣传部,政府,1
北海市互联网新闻传播研究中心,网信办,政府,1
东山县网络信息管理中心,宣传部,政府,1
上杭县精神文明建设办公室,文明办,政府,1
重庆市互联网新闻研究中心,宣传部,政府,1
岳阳市教育体育局,教育局,政府,1
淄博市供电公司,电力,企业,1
大新县网络舆情管理中心,宣传部,政府,1
盂县行云公共关系服务有限公司,广告,企业,1
全国人大信息中心,人大,政府,1
天津市商务局,商务局,政府,1
上杭县城市管理行政执法局,城管局,政府,1
泸溪县网络信息中心,宣传部,政府,1
万科企业股份有限公司,地产,企业,1
厦门市金融工作办公室,金融办,政府,1
陕西日报新媒体发展有限责任公司,官媒,政府,1
厦门市城市管理行政执法局,城管局,政府,1
长汀县网络管理中心,宣传部,政府,1
人民政协报网络有限公司,官媒,政府,1
劳动午报,官媒,政府,1
中共东营市委经济技术开发区工作委员会组宣部,宣传部,政府,1
广西壮族自治区体育局,教育局,政府,
云南省曲靖市会泽县委办,政府办,政府,
贵州省黔南布依族苗族自治州都匀经济开发区,管委会,政府,
林州市农村信用合作联社,银行,企业,
宝鸡新闻网,宣传部,政府,
河北省廊坊市监察委员会,监察委,政府,
河北省保定市顺平县监察局,监察委,政府,
合水县委,宣传部,政府,
四川省成都市双流区农村事业局,农业局,政府,
河南省信阳市淮滨县委办公室,政府办,政府,
南阳市农村信用合作社联合社,银行,企业,
榆中县妇幼保健院,医院,事业,
云南省文山州委办公室,政府办,政府,
江西省工业和信息化厅,工信,政府,
广东省茂名市滨海新区党政办,政府办,政府,
湖南广播影视集团有限公司（GBS）,官媒,政府,
江苏省常州市溧阳市网络新闻管理中心,宣传部,政府,
LZ保障大队,军队,政府,
北京市顺义区木林镇,政府办,政府,
甘肃省政治协商委员会,政协,政府,
北京同仁堂科技发展股份有限公司,药业,企业,
中国西电集团有限公司,电力,企业,
东平县城关镇派出所,乡镇,政府,
北京市延庆区康庄镇,政府办,政府,
上海师大,高校,事业,
固原市网络安全与信息化办公室,网信办,政府,
江苏省军区,军队,政府,
新华社安徽分社,官媒,政府,
山西省长治市信息中心,宣传部,政府,
江苏省徐州市泉山区火花派出所,公安,政府,
新疆维吾尔自治区监督管理局,市场监督,政府,
河北省互联网舆情信息中心,宣传部,政府,
葛严严,监狱,政府,
江西省地方金融监督管理局,金融办,政府,
湖南日报报业集团,官媒,政府,
中共晋城市委网络安全与信息化委员办公室,网信办,政府,
云南省自然资源厅,自然资源,政府,
宁夏日报报业集团,官媒,政府,
菏泽市卫健委,卫计委,政府,
河北省唐山市委值班室,政府办,政府,
重庆市高速公路执法总队,交通局,政府,
北京市顺义区赵全营镇,政府办,政府,
常德市澧县县委信息办公室,政府办,政府,
